Evaluation Protocol,Representation,Model,Cleaning Method,Pearson r
10-Fold CV (Full Dataset),ESM-2 (8M),Random Forest,Ensemble Variance (15%),0.35368252798143646
10-Fold CV (Full Dataset),ESM-2 (8M),KNN,Ensemble Variance (15%),0.26487062744926504
10-Fold CV (Full Dataset),Ankh Base,Ridge,Raw Data,0.37785349509590216
10-Fold CV (Full Dataset),Ankh Base,XGBoost,Raw Data,0.34537564489241845
10-Fold CV (Full Dataset),Ankh Base,SVR,Raw Data,0.4044635717072236
10-Fold CV (Full Dataset),Ankh Base,MLP,Raw Data,0.3398911168294529
10-Fold CV (Full Dataset),Ankh Base,Random Forest,Raw Data,0.38700638666803344
10-Fold CV (Full Dataset),Ankh Base,KNN,Raw Data,0.29568815654484265
10-Fold CV (Full Dataset),Ankh Base,Ridge,Residual OOF (10%),0.4687561847459677
10-Fold CV (Full Dataset),Ankh Base,XGBoost,Residual OOF (10%),0.450988619621919
10-Fold CV (Full Dataset),Ankh Base,SVR,Residual OOF (10%),0.48412899154751055
10-Fold CV (Full Dataset),Ankh Base,MLP,Residual OOF (10%),0.39951831512678077
10-Fold CV (Full Dataset),Ankh Base,Random Forest,Residual OOF (10%),0.4477193196027989
10-Fold CV (Full Dataset),Ankh Base,KNN,Residual OOF (10%),0.34558853160630737
10-Fold CV (Full Dataset),Ankh Base,Ridge,Residual OOF (15%),0.5109487835627201
10-Fold CV (Full Dataset),Ankh Base,XGBoost,Residual OOF (15%),0.4646672952724821
10-Fold CV (Full Dataset),Ankh Base,SVR,Residual OOF (15%),0.5230504122988261
10-Fold CV (Full Dataset),Ankh Base,MLP,Residual OOF (15%),0.4699453852193547
10-Fold CV (Full Dataset),Ankh Base,Random Forest,Residual OOF (15%),0.49240753824989963
10-Fold CV (Full Dataset),Ankh Base,KNN,Residual OOF (15%),0.38819353331038947
10-Fold CV (Full Dataset),Ankh Base,Ridge,Residual OOF (20%),0.5537363464836935
10-Fold CV (Full Dataset),Ankh Base,XGBoost,Residual OOF (20%),0.5191153587509033
10-Fold CV (Full Dataset),Ankh Base,SVR,Residual OOF (20%),0.5732744329453705
10-Fold CV (Full Dataset),Ankh Base,MLP,Residual OOF (20%),0.5615776833167072
10-Fold CV (Full Dataset),Ankh Base,Random Forest,Residual OOF (20%),0.5202803133560633
10-Fold CV (Full Dataset),Ankh Base,KNN,Residual OOF (20%),0.41830304760036113
10-Fold CV (Full Dataset),Ankh Base,Ridge,Huber Robust (15%),0.45835526746352995
10-Fold CV (Full Dataset),Ankh Base,XGBoost,Huber Robust (15%),0.4803811910560721
10-Fold CV (Full Dataset),Ankh Base,SVR,Huber Robust (15%),0.48529600145598
10-Fold CV (Full Dataset),Ankh Base,MLP,Huber Robust (15%),0.41342893016253157
10-Fold CV (Full Dataset),Ankh Base,Random Forest,Huber Robust (15%),0.4786711681300318
10-Fold CV (Full Dataset),Ankh Base,KNN,Huber Robust (15%),0.3585941236133142
10-Fold CV (Full Dataset),Ankh Base,Ridge,Activity Cliffs,0.3842431596385538
10-Fold CV (Full Dataset),Ankh Base,XGBoost,Activity Cliffs,0.40884241296599966
10-Fold CV (Full Dataset),Ankh Base,SVR,Activity Cliffs,0.40967356792776666
10-Fold CV (Full Dataset),Ankh Base,MLP,Activity Cliffs,0.37304254287876265
10-Fold CV (Full Dataset),Ankh Base,Random Forest,Activity Cliffs,0.413057823417282
10-Fold CV (Full Dataset),Ankh Base,KNN,Activity Cliffs,0.33662598685044254
10-Fold CV (Full Dataset),Ankh Base,Ridge,Ensemble Variance (15%),0.36071232176294704
10-Fold CV (Full Dataset),Ankh Base,XGBoost,Ensemble Variance (15%),0.3498139584525283
10-Fold CV (Full Dataset),Ankh Base,SVR,Ensemble Variance (15%),0.3848597584502232
10-Fold CV (Full Dataset),Ankh Base,MLP,Ensemble Variance (15%),0.33904936450963724
10-Fold CV (Full Dataset),Ankh Base,Random Forest,Ensemble Variance (15%),0.3675460238130139
10-Fold CV (Full Dataset),Ankh Base,KNN,Ensemble Variance (15%),0.27920745672814873
10-Fold CV (Full Dataset),Fused (ProtT5 + ESM2),Ridge,Raw Data,0.4321295183845061
10-Fold CV (Full Dataset),Fused (ProtT5 + ESM2),XGBoost,Raw Data,0.39999990279752706
10-Fold CV (Full Dataset),Fused (ProtT5 + ESM2),SVR,Raw Data,0.35625522343548977
10-Fold CV (Full Dataset),Fused (ProtT5 + ESM2),MLP,Raw Data,0.401449641465294
10-Fold CV (Full Dataset),Fused (ProtT5 + ESM2),Random Forest,Raw Data,0.44445234558999946
10-Fold CV (Full Dataset),Fused (ProtT5 + ESM2),KNN,Raw Data,0.39422905234999134
10-Fold CV (Full Dataset),Fused (ProtT5 + ESM2),Ridge,Residual OOF (10%),0.626821107805737
