Representation,Model,Cleaning Method,Pearson r
ProtT5-XL,Random Forest,Residual OOF (15%),0.5789339295321769
ProtT5-XL,KNN,Residual OOF (15%),0.5582033950365534
ESM-2 (650M),Ridge,Residual OOF (15%),0.5657129796720369
ESM-2 (650M),XGBoost,Residual OOF (15%),0.5384427821507582
ESM-2 (650M),SVR,Residual OOF (15%),0.40990201574570806
ESM-2 (650M),MLP,Residual OOF (15%),0.4487522454645472
ESM-2 (650M),Random Forest,Residual OOF (15%),0.532240304660804
ESM-2 (650M),KNN,Residual OOF (15%),0.46635800128664434
ESM-2 (35M),Ridge,Residual OOF (15%),0.5402633660806889
ESM-2 (35M),XGBoost,Residual OOF (15%),0.4829522604817236
ESM-2 (35M),SVR,Residual OOF (15%),0.4276451024465879
ESM-2 (35M),MLP,Residual OOF (15%),0.3923850247735382
ESM-2 (35M),Random Forest,Residual OOF (15%),0.5084400201888456
ESM-2 (35M),KNN,Residual OOF (15%),0.43351739848257786
ESM-2 (8M),Ridge,Residual OOF (15%),0.5003973553139917
ESM-2 (8M),XGBoost,Residual OOF (15%),0.4633147139982251
ESM-2 (8M),SVR,Residual OOF (15%),0.42775173942043565
ESM-2 (8M),MLP,Residual OOF (15%),0.4253810999443264
ESM-2 (8M),Random Forest,Residual OOF (15%),0.46546877649333585
ESM-2 (8M),KNN,Residual OOF (15%),0.409361651162871
Ankh Base,Ridge,Residual OOF (15%),0.5084367425380257
Ankh Base,XGBoost,Residual OOF (15%),0.5302276588742917
Ankh Base,SVR,Residual OOF (15%),0.5448453397416999
Ankh Base,MLP,Residual OOF (15%),0.4834239545491902
Ankh Base,Random Forest,Residual OOF (15%),0.5354471248645374
Ankh Base,KNN,Residual OOF (15%),0.4423040318575217
Fused (ProtT5 + ESM2),Ridge,Residual OOF (15%),0.6568984817323742
Fused (ProtT5 + ESM2),XGBoost,Residual OOF (15%),0.5771907517768502
Fused (ProtT5 + ESM2),SVR,Residual OOF (15%),0.4906814039568793
Fused (ProtT5 + ESM2),MLP,Residual OOF (15%),0.5768855462358855
Fused (ProtT5 + ESM2),Random Forest,Residual OOF (15%),0.5743300220628889
Fused (ProtT5 + ESM2),KNN,Residual OOF (15%),0.5433484276412689
